Reference No.,Citation
14,"Bałazy, S., 1963. The fungus Cephalosporium (Acrostalagmus) lecanii Zimm., a pathogen of beetle larvae. Acta Societatis Botanicorum Poloniae 32, 69–80."
15,"Bałazy, S., 1965. Entomopathogenous fungi from the order Hyphomycetes damaging forest insects in Poland. Roczniki Wyzszej Szkoly Rolniczej w Poznaniu 27, 21–30."
16,"Bałazy, S., 1966. Living organisms regulating population density of bark beetles in spruce forests, with special reference to entomopathogenic fungi I. Poznanskie Towarzystwo Przyjaciol Nauk Wydzial Nauk Rolniczych I Lesnych 21, 3–50."
17,"Bałazy, S., 1973. A review of entomopathogenic species of the genus Cephalosporium Corda (Mycota, Hyphomycetales). Bulletin de la societe des Amis des Sciences et des Lettres de Poznan, Ser. D 14, 101–137."
18,"Bałazy, S., Bargielski, J., Ziółkowski, G., & Czerwińska, C. (1967). Śmiertelność dorosłych chrząszczy kornika drukarza–Ips typographus (L.)(Col., Scolytidae) w żerowiskachijej przyczyny. Polskie Pismo Entomologiczne, 37(1), 201-205."
19,"Bałazy, S., Michalski, J., Ratajczak, E., 1987. Contribution to the knowledge of natural enemies of Ips acuminatus Gyll. (Coleoptera; Scolytidae). Polskie Pismo Entomologiczne 57, 735–745."
20,"Biryol, S., Soydinç, A., & İşık, S. (2024). Morphological, molecular identification and virulence of entomopathogenic fungi isolated from Dendroctonus micans (Kugelann, 1794)(Coleoptera: Curculionidae). Sakarya University Journal of Science, 28(2), 381-391."
21,"Bridges, J.R., 1987. Prevalence of Unikaryon minutum (Microsporidia: Nosematidae) infection in outbreak populations of the southern pine beetle (Coleoptera: Scolytidae). J. Invertebr. Pathol. 49, 334–335."
22,"Brownbridge, M., Reay, S.D., Cummings, N.J., 2010. Association of entomopathogenic fungi with exotic bark beetles in New Zealand pine plantations. Mycopathologia 169, 75–80."
23,"Burjanadze, M. (2007). Entomopathogenic fungi found on Ips typographus in Georgia. IOBC WPRS BULLETIN, 30(1), 155."
24,"Burjanadze, M., 2010. Efficacy of Beauveria bassiana isolate against pine shoot beetle Tomicus piniperda L. (Coleoptera, Scolytidae) in laboratory. Bull. Georgian Natl. Acad. Sci. 4, 119–122."
25,"Burjanadze, M., Goginashvili, N., 2009. Occurrence of pathogens and nematodes in the spruce bark beetle, Ips typographus (Col., Scolytidae) in Borjomi Gorge. Bull. Georgian Natl. Acad. Sci. 3, 145–150."
26,"Burjanadze, M., Lortkipanidze, M., Gorgadze, O., 2012. Influence of ecological factors on the formation of nematode fauna of bark beetles (Coleoptera Scolytidae). Bull. Georgian Natl. Acad. Sci 6, 133–136."
27,"Burjanadze, M., Lortkipanidze, M., Supatashvili, A., Gorgadze, O., 2011. Occurrence of pathogens and nematodes of bark beetles (Coleoptera, Scolytidae) from coniferous forests in different region of Georgia. IOBC/wprs Bull. 66, 351–354."
28,"Cane, J.H., Cox, H.E., Moar, W.J., 1995. Susceptibility of Ips calligraphus (Germar) and Dendroctonus frontalis (Zimmermann) (Coleoptera: Scolytidae) to coleopteran-active Bacillus thuringiensis, a Bacillus metabolite, and Avermectin B1. Can. Entomol. 127, 831–837."
29,"Cardoza, Y. J., Vasanthakumar, A., Suazo, A., & Raffa, K. F. (2009). Survey and phylogenetic analysis of culturable microbes in the oral secretions of three bark beetle species. Entomologia experimentalis et applicata, 131(2), 138-147."
30,"Carrillo, D., Dunlap, C. A., Avery, P. B., Navarrete, J., Duncan, R. E., Jackson, M. A., ... & Peña, J. E. (2015). Entomopathogenic fungi as biological control agents for the vector of the laurel wilt disease, the redbay ambrosia beetle, Xyleborus glabratus (Coleoptera: Curculionidae). Biological Control, 81, 44-50."
31,"Castrejón-Antonio, J. E., Tamez-Guerra, P., García-Ortiz, N., Muñiz-Paredes, F., Sánchez-Rangel, J. C., & Montesinos-Matías, R. (2023). Biocontrol of Xyleborus affinis (Curculionidae: Scolitinae) females and progeny by Beauveria bassiana (Hypocreales: Cordycipitaceae) in a sawdust artificial diet model. Insects, 14(5), 477."
32,"Castrejón-Antonio, J. E., Tamez-Guerra, P., Montesinos-Matías, R., Ek-Ramos, M. J., Garza-López, P. M., & Arredondo-Bernal, H. C. (2020). Selection of Beauveria bassiana (Hypocreales: Cordycipitaceae) strains to control Xyleborus affinis (Curculionidae: Scolytinae) females. PeerJ, 8, e9472."
33,"Castrejón-Antonio, J. E., Tamez-Guerra, P., Montesinos-Matías, R., Sánchez-Rangel, J. C., & Mendoza-Muñoz, N. (2025). Compatibility of Beauveria bassiana with Inverted Emulsions in Contaminated Surface Tests Against Xyleborus affinis1. Southwestern Entomologist, 50(1), 1-18."
34,"Castrillo, L. A., Griggs, M. H., & Vandenberg, J. D. (2013). Granulate ambrosia beetle, Xylosandrus crassiusculus (Coleoptera: Curculionidae), survival and brood production following exposure to entomopathogenic and mycoparasitic fungi. Biological control, 67(2), 220-226."
35,"Castrillo, L. A., Griggs, M. H., & Vandenberg, J. D. (2016). Competition between biological control fungi and fungal symbionts of ambrosia beetles Xylosandrus crassiusculus and X. germanus (Coleoptera: Curculionidae): mycelial interactions and impact on beetle brood production. Biological Control, 103, 138-146."
36,"Castrillo, L. A., Griggs, M. H., Ranger, C. M., Reding, M. E., & Vandenberg, J. D. (2011). Virulence of commercial strains of Beauveria bassiana and Metarhizium brunneum (Ascomycota: Hypocreales) against adult Xylosandrus germanus (Coleoptera: Curculionidae) and impact on brood. Biological Control, 58(2), 121-126."
37,"Castrillo, L. A., Wraight, S. P., Galaini-Wraight, S., Matsumoto, T. K., Howes, R. L., & Keith, L. M. (2020). Genetic diversity among naturally-occurring strains of Beauveria bassiana associated with the introduced coffee berry borer, Hypothenemus hampei,(Coleoptera: Curculionidae) on Hawai ‘i Island. Journal of invertebrate pathology, 175, 107456."
38,"Chararas C. 1957. Rev.Path.Veg.d’Ent.Agr.Fr. 36, 145-155; cit.: Postner, M. (1974): Scolytidae (=Ipidae), Borkenkäfer. In: Die Forstschädlinge Europas, Bd. 2.W. Schwenke (Ed), P. Parey."
39,"Chararas C. 1962. Encyclopedie Entomologique A, 38, Lechevalier, Paris; cit.: Postner, M. (1974): Scolytidae (=Ipidae), Borkenkäfer. In: Die Forstschädlinge Europas, Bd. 2. W. Schwenke (Ed), P. Parey."
40,"Chavez, A. V., Duren, E. B., Avery, P. B., Pitino, M., Duncan, R. E., Cruz, L. F., ... & Cave, R. D. (2023). Evaluation of spore acquisition, spore production, and host survival time for tea shot-hole borer, Euwallacea perbrevis, adults after exposure to four commercial products containing Beauveria bassiana. Insects, 14(9), 726."
41,"Choo, H.Y., Kaya, H.K., Shea, P., Noffsinger, E.M., 1987. Ecological study of nematode parasitism in Ips beetles from California and Idaho. J. Nematol. 19, 495–502."
42,"Davis, T. S., Mann, A. J., Malesky, D., Jankowski, E., & Bradley, C. (2018). Laboratory and field evaluation of the entomopathogenic fungus Beauveria bassiana (Deuteromycotina: Hyphomycetes) for population management of spruce beetle, Dendroctonus rufipennis (Coleoptera: Scolytinae), in felled trees and factors limiting pathogen success. Environmental entomology, 47(3), 594-602."
43,"Davis, T. S., Stewart, J. E., Mann, A., Bradley, C., & Hofstetter, R. W. (2019). Evidence for multiple ecological roles of Leptographium abietinum, a symbiotic fungus associated with the North American spruce beetle. Fungal Ecology, 38, 62-70."
44,"Davydenko, K., Vasaitis, R., Meshkova, V., & Menkis, A. (2014). Fungi associated with the red-haired bark beetle, Hylurgus ligniperda (Coleoptera: Curculionidae) in the forest-steppe zone in eastern Ukraine. European Journal of Entomology, 111(4), 561."
45,"Dinu, M. M., Lupăştean, D., Cardaş, G., & Andrei, A. M. (2012). New Beauveria bassiana (Bals.) Vuill. isolate from Ips duplicatus (Sahlberg). Romanian Journal of Plant Protection, 5, 12-15."
46,"Doane C.C. 1959. Beauveria bassiana as a pathogen of Scolytus multistriatus. Annals Entomological Society of America 52, 109-11."
47,"Doane C.C. 1960. Bacterial Pathogens of Scolytus multistriatus Marsham as related to crowding. Journal of Insect Pathology 2, 24.29."
48,"Doberski J.W. 1981. Comparative laboratory studies on three fungal pathogens of the elm bark beetle, Scolytus scolytus: Pathogenicity of Beauveria bassiana, Metarhizium anisopliae, and Paecilomyces farinosus to larvae and adults of S. scolytus. Journal of Invertebrate Pathology 37, 188-94."
49,"Doberski J.W. 1981. Comparative laboratory studies on three fungal pathogens of the elm bark beetle, Scolytus scolytus: effects of temperature and humidity on infection by Beauveria bassiana, Metarhizium anisopliae, and Paecilomyces farinosus. Journal of Invertebrate Pathology 37, 195-200."
50,"Draganova, S. A., Doychev, D. D., Pilarska, D. K., & Takov, D. I. (2017). Bioassays of entomopathogenic fungi against xylophagous insects in Bulgaria: laboratory and field experiments. Acta Zool. Bulg, 69, 411-419."
51,"Draganova, S. A., Takov, D. I., & Doychev, D. D. (2010). Naturally-occurring entomopathogenic fungi on three bark beetle species (Coleoptera: Curculionidae) in Bulgaria. Pesticidi i fitomedicina, 25(1), 59-63."
52,"Draganova, S., Pilarska, D., Takov, D., & Doychev, D. (2011). Utilization of carbohydrates by Beauveria bassiana isolates obtained from forest pests. Journal of Plant Protection Research."
53,Efficacy test of Metarhizium anisopliae for controlling bark beetles on grapes
54,"Fan, M.; C. Kuo & X. Lu 1988. Tentative study on entomopoxvirus of Dendroctonus armandi Tsai et Li. Journal Disinsectional Microorganism 1, 140-41."
55,"Fora, C. G., Boja, N., Moatăr, M., Tóth, F., & Balog, A. (2022). Effect of entomopathogenic fungi, Beauveria bassiana (Cordycipitaceae), on the bark beetle, Ips typographus (L.), under field conditions. Insects, 13(10), 885."
56,"Fuchs G. 1915. Die Naturgeschichte der Nematoden und einiger anderer Parasiten 1. des Ips typographus L. 2. des Hylobius abietis L. Zoologische Jahrbücher, Abteilung für Systematik 38, 109-222."
57,"Fuchs, G., 1914a. Tylenchus dispar curvidentis m. und Tylenchus dispar cryphali m. Zool. Anz. 45, 195–207."
58,"Gasperl H. 2002. Grundlegende Erhebungen zum Borkenkäferauftreten an Fichten-Fangbäumen und zum Pathogenauftreten in Borkenkäfern aus dem geplanten Nationalpark Gesäuse. Diploma thesis, Universität für Bodenkultur Wien."
59,"Glare, T. R., Reay, S. D., Nelson, T. L., & Moore, R. (2008). Beauveria caledonica is a naturally occurring pathogen of forest beetles. Mycological Research, 112(3), 352-360."
60,"Gokturk, T., Burjanadze, M., Aksu, Y., Supatashvili, A., 2010. Nature enemies—predators, pathogens and parasitic nematodes of bark beetles in Hatila Valley National Park of Turkey. Proc. Georgian Acad. Sci., Biol. Ser. Bull. Am. Meteorol. Soc. 8, 59–71."
61,"Gusteleva L.A. 1982a. Prospects for using microbial preparations against Ips subelongatus. Lesnoe Khozyaistvo 9, 67."
62,"Gusteleva L.A. 1982b. The interaction of wood decomposing insects with microorganisms. In: Konsortivnye svyazi dereva i dendrofil nykh nasekomykh, ed.: A.S. Isaev, 56-67."
63,"Gusteleva L.A. 1984. Virulence of Beauveria bassiana (Bals.) Vuill to the larvae of the bark beetle Ips subelongatus Motsch. (Coleoptera, Scolytidae). Revue d’Entomologie de l’Urss 63, 40-42."
64,"Gusteleva, L.A., 1980. Beauveria bassiana (Bals) Vuill preparation effect on Ips subelongatus Motsch. Leatsch results of the test. Izvestiya Sibirskogo Otdeleniya Akademii Nauk Sssr Seriya Biologicheskikh Nauk 1980, 49–54."
65,"Haidler B. 1998. Pathogene und Parasiten von ichtenborkenkäfern in einem Fichtenbestand am Achner Kogel bei Tamsweg. Diploma thesis, Formal- und Naturwissenschaftliche Fakultät der niversität Wien."
66,"Haidler, B.,Wegensteiner, R., Weiser, J., 2003. Occurrence of microsporidia and other pathogens in associated living spruce bark beetles (Coleoptera: Scolytidae) in an Austrian forest. IOBC/wprs Bull. 26, 257–260."
67,"Hallet S., J.C. Gregoire & J. Coremans-Pelseneer 1994. Prospects in the use of the entomopathogenous fungus Beauveria bassiana (Bals.) Vuill. (Deuteromycetes: Hyphomycetes) to control the spruce bark beetle Ips typographus L. (Coleoptera: Scolytidae). Mededelingen Faculteit Landbouwkundige en Toegepaste Biologische Wetenschappen Universiteit Gent 59, 379-83."
68,"Handel, U., Wegensteiner, R., 2005. Occurrence of pathogens in bark beetles (Coleoptera, Scolytidae) from Alpine pine (Pinus cembra L.). IOBC/wprs Bull 28, 155–158."
69,"Harrar, J. G., & Martland, J. G. (1940). A fungous Parasite of the Pine Bark Beetle."
70,"Hoffard, W.H., Coster, J.E., 1976. Endoparasitic nematodes of Ips Bark beetles in eastern Texas. Environ. Entomol. 5, 128–132."
71,"Holusa, J., Weiser, J., & Drapela, K. (2007). Pathogens of Ips duplicatus (Coleoptera: Scolytidae) in three areas in Central Europe. Acta Protozoologica, 46(2), 157-167."
72,"Holusa, J., Weiser, J., & Zizka, Z. (2009). Pathogens of the spruce bark beetles Ips typographus and Ips duplicatus. Central European Journal of Biology, 4(4), 567-573."
73,"Holuša, J., Lukášová, K., Hubáčková, J., Knížek, M., & Wegensteiner, R. (2017). Pathogens and nematodes associated to three bark beetle species of the genus Orthotomicus (Coleoptera Curculionidae) in central-south Europe. Bulletin of Insectology, 70(2), 291-297."
74,"Holuša, J., Lukášová, K., Wegensteiner, R., Grodzki, W., Pernek, M., & Weiser, J. (2013). Pathogens of the bark beetle Ips cembrae: microsporidia and gregarines also known from other Ips species. Journal of applied entomology, 137(3), 181-187."
75,"Holuša, J., Lukášová, K., Žižka, Z., Händel, U., Haidler, B., & Wegensteiner, R. (2016). Occurrence of Microsporidium sp. and other pathogens in Ips amitinus (Coleoptera: Curculionidae). Acta Parasitologica, 61(3), 621-628."
76,"Houle C., G.C. Hartmann & S.S. Wasti 1987. Infectivity of eight species of entomogenous fungi to the larvae of the elm bark beetle, Scolytus multistriatus (Marsham). Journal of the New York Entomological Society 95, 14-18."
77,"Hunt, D. W. A., Borden, J. H., Rahe, J. E., & Whitney, H. S. (1984). Nutrient-mediated germination of Beauveria bassiana conidia on the integument of the bark beetle Dendroctonus ponderosae (Coleoptera: Scolytidae). Journal of Invertebrate Pathology, 44(3), 304-314."
78,"Hyblerová, S., Medo, J., & Barta, M. (2021). Diversity and prevalence of entomopathogenic fungi (Ascomycota, Hypocreales) in epidemic populations of bark beetles (Coleoptera, Scolytinae) in spruce forests of the Tatra National Park in Slovakia. Annals of Forest Research, 64(1), 129-145."
79,"Händel U. 2001. Untersuchungen zum Gegenspielerkomplex assoziiert lebender Fichtenborkenkäfer (Col., Scolytidae) aus naturnahen und sekundären Fichtenbeständen unter besonderer Berücksichtigung der Pathogene. PhD thesis, Universität für Bodenkultur Wien."
80,"Händel U., M. Kenis & R. Wegensteiner 2001. Untersuchungen zum Vorkommen von Pathogenen und Parasiten in Populationen überwinternder Fichtenborkenkäfer (Col., Scolytidae). Mitteilungen der Deutschen Gesellschaft für allgemeine und angewandte Entomologie 13, 423-28."
81,"Händel, U., Wegensteiner, R., Weiser, J., & Zizka, Z. (2003). Occurrence of pathogens in associated living bark beetles (Col., Scolytidae) from different spruce stands in Austria. Anzeiger für Schädlingskunde= Journal of pest science, 76(1), 22-32."
82,Identification of Entomopathogenous Fungus and Pathogenicity Test  of Phloeosinus sinensis Adult
83,"Imnadze T.S. 1978. Characteristics of strains of Bacillus thuringiensis serotype I isolated from bark beetles in Georgia. Soobshcheniya Akademii Nauk Gruzinskoi SSR 92, 457-60. In: Review of Applied Entomology, Ser. A, Vol. 68, 1980, no. 2616, p. 328."
84,Isolation and Identification of Beauveria bassiana Strain Bb-QJC2 and Evaluation of its Pathogenicity Against the Coffee Berry Borer (Hypothenemus hampei)
85,"Jakus, R., & Blazenec, M. (2011). Treatment of bark beetle attacked trees with entomopathogenic fungus Beauveria bassiana (Balsamo) Vuillemin. Folia Forestalia Polonica. Series A. Forestry, 53(2)."
86,"Jankevica, LĪGA. (2004). Ecological associations between entomopathogenic fungi and pest insects recorded in Latvia. Latvijas entomologs, 41, 60-65."
87,"Jassim H.K., H.A. Foster & C.P. Fairhurst 1990. Biological control of Dutch elm disease: Bacillus thuringiensis as a potential control agent for Scolytus scolytus and S. multistriatus. Journal of Applied Bacteriology 69, 563-68."
88,"Jouvenaz D.P. & R.C. Wilkinson 1970. Incidence of Serratia marcescens in Wild Ips calligraphus Populations in Florida. Journal of Invertebrate Pathology 16, 295-96."
89,"Jurc, M. (2004). insect pathogens with special reference to pathogens of bark beetles (COL. Solytidae: Ips typographus L.): preliminary results of isolation of entomopathogenic fungi from two spruce bark beetles in Slovenia. Zbornik gozdarstva in lesarstva. forest and wood science & technology, 74, 97-124."
90,"Karpinski J.J. 1935. Les causes qui limitent la reproduction de Bostryches typographes (Ips typographus L. et Ips duplicatus Sahlb.) dans la foret primitive. Inst.Rech.Forets doman., Trav., Compt.rend., Ser. A, Warszawa 15, 1-86, cit. in: Müller-Kögler E. 1965. Pilzkrankheiten bei Insekten. P. Parey."
91,"Keller, S., Epper, C., & Wermelinger, B. (2004). Metarhizium anisopliae as a new pathogen of the spruce bark beetle Ips typographus."
92,"Kepenekci, I., Toksöz, S., Atay, T., & Saruhan, I. (2018). Efficacyof of entomopathogenic nematode isolates from Turkey and Kyrgyzstan against black timber bark beetle, Xylosandrus germanus (Blandford)(Coleoptera: Curculionidae: Scolytinae) adults. Pakistan Journal of Nematology, 36(1), 65-70."
93,"Kerchev, I. A., Kryukov, V. Y., Yaroslavtseva, O. N., Polovinko, G. P., Tokarev, Y. S., & Glupov, V. V. (2017). The first data on fungal pathogens (ascomycota, hypocreales) in the invasive populations of four-eyed fir bark beetle Polygraphus proximus Blandf. Russian journal of biological invasions, 8(1), 34-40."
94,"Kereselidze, M., & Wegensteiner, R. (2007). Occurrence of pathogens and parasites in Ips typographus L. from spruce stands (Picea orientalis L.) in Georgia. IOBC wprs Bulletin, 30(1), 207."
95,"Kereselidze, M., Wegensteiner, R., Goginashvili, N., Tvaradze, M., & Pilarska, D. (2010). Further studies on the occurrence of natural enemies of Ips typographus (Coleoptera: Curculionidae: Scolytinae) in Georgia. Acta zool. bulg, 62(2), 131-139."
96,"Khanday, A. L., & Buhroo, A. A. (2018). An assessment of biological control of Polygraphus major Stebbing, 1903 (Coleoptera: Curculionidae) by entomopathogenic fungi. Journal of Forest Science, 64(4), 178-186."
97,"Khanday, A. L., Buhroo, A. A., Ranjith, A. P., & Kerchev, I. A. (2018). Evaluating the efficacy of entomopathogenic fungi against the bark beetle, Ips stebbingi Strohmeyer (Coleoptera, Curculionidae: Scolytinae) in India. Entomological Review, 98(8), 985-994."
98,"Khanday, A. L., Buhroo, A. A., Ranjith, A. P., & Mazur, S. (2018). Laboratory evaluation of entomopathogenic fungi as biological control agents against the bark beetle Pityogenes scitus Blandford (Coleoptera: Curculionidae) in Kashmir. Folia Forestalia Polonica. Series A. Forestry, 60(2)."
99,"Kinn, D. N., & Stephen, F. M. (1981). The incidence of endoparasitism of Dendroctonus frontalis Zimm.(Coleoptera: Scolytidae) by Contortylenchus brevicomi (Massey) Rühm (Nematoda: Sphaerulariidae) 1. Zeitschrift für Angewandte Entomologie, 91(1‐5), 452-458."
100,"Kirchhoff J.-F. & E. Führer 1985. Häufigkeit und Verbreitung von Malamoeba scolyti Purrini bei Dryocoetes autographus in einigen Gebieten Nord- und Nordwestdeutschlands. Forstwissenschaftliches Centralblatt 104, 373-80."
101,"Kirchhoff J.-F. & E. Führer 1990. Experimentelle Analyse der Infektion und des Entwicklungszyklus von Malamoeba scolyti in Dryocoetes autographus (Coleoptera: Scolytidae). Entomophaga 35 (4), 537-44."
102,"Kirschner R. 2001. Diversity of Filamentous Fungi in Bark Beetle Galleries in Central Europe. In: Trichomycetes and Other Fungal Groups: Professor Robert W. Lichtwardt Commemoration Volume, Editors-J. K. Misra and Bruce W. Horn, Science Publishers, Inc., Enfield (NH), USA, 175-96."
103,"Kleespies, R. G., Lim, Y. W., Tkaczuk, C., Wrzosek, M., Steinwender, B. M., & Wegensteiner, R. (2017). Metschnikowia cf. typographi and other pathogens from the bark beetle Ips sexdentatus–Prevalence, histological and ultrastructural evidence, and molecular characterization. Journal of invertebrate pathology, 143, 69-78."
104,"Kleine, R. (1944). Die europäischen Borkenkäfer und die bei ihnen lebenden Räuber Parasiten und Commensalen.(Ipidae). Publications of famous biologists-a collection of prints."
105,"Knell J.D. & G.E. Allen 1978. Morphology and Ultrastructure of Unikaryon minutum sp.n. (Microsporidia: Protozoa), a Parasite of the Southern Pine Beetle, Dendroctonus frontalis. Acta Protozoologica 17, 271-78."
106,"Kocacevik, S., Sevim, A., Eroglu, M., Demirbag, Z. İ. H. N. İ., & Demir, I. (2015). Molecular characterization, virulence and horizontal transmission of B eauveria pseudobassiana from D endroctonus micans (K ug.)(C oleoptera: C urculionidae). Journal of Applied Entomology, 139(5), 381-389."
107,"Kocacevik, S., Sevim, A., Eroğlu, M., Demirbağ, Z., & Demir, I. (2016). Virulence and horizontal transmission of Beauveria pseudobassiana SA Rehner & Humber in Ips sexdentatus and Ips typographus (Coleoptera: Curculionidae). Turkish Journal of Agriculture and Forestry, 40(2), 241-248."
108,"Kohlmayr B., J. Weiser, R. Wegensteiner, U. Händel & Z. Zizka 2003. Infection of Tomicus piniperda (Col., Scolytidae) with Canningia tomici sp.n. (Microsporidia, Unikaryonidae). Journal of Pest Science 76, 65-73."
109,"Kraberger, S., Hofstetter, R. W., Potter, K. A., & Varsani, A. (2018). Genomoviruses associated with mountain and western pine beetles. Virus research, 256, 17-20."
110,"Krams, I., Daukšte, J., Kivleniece, I., Brūmelis, G., Cibuļskis, R., Āboliņš-Ābols, M., ... & Krama, T. (2012). Drought-induced positive feedback in xylophagous insects: Easier invasion of Scots pine leading to greater investment in immunity of emerging individuals. Forest Ecology and Management, 270, 147-152."
111,"Kreutz J., G. Zimmermann, H. Marohn, O. Vaupel & G. Mosbacher 2000a. Möglichkeiten des Einsatzes von Beauveria bassiana (Bals.) Vuill. und anderen Kontrollmethoden zur biologischen Bekämpfung des Buchdruckers Ips typographus L. (Col., Scolytidae) im Freiland. Mitteilungen der Deutschen Gesellschaft für allgemeine und angewandte Entomologie 12, 119-25."
112,"Kreutz J., G. Zimmermann, H. Marohn, O. Vaupel & G. Mosbacher 2000b. Preliminary investigations on the use of Beauveria bassiana (Bals.) Vuill. and other control methods against the bark beetle Ips typographus (Col., Scolytidae) in the field. IOBC/wprs Bulletin 23 (2), 167-73."
113,"Kreutz, J., Vaupel, O., & Zimmermann, G. (2004). Efficacy of Beauveria bassiana (Bals.) Vuill. against the spruce bark beetle, Ips typographus L., in the laboratory under various conditions. Journal of Applied Entomology, 128(6), 384-389."
114,"Kreutz, J., Zimmermann, G., & Vaupel, O. (2004). Horizontal transmission of the entomopathogenic fungus Beauveria bassiana among the spruce bark beetle, Ips typographus (Col., Scolytidae) in the laboratory and under field conditions. Biocontrol Science and Technology, 14(8), 837-848."
115,"Kushiyev, R., Tuncer, C., Erper, I., Ozdemir, I. O., & Saruhan, I. (2018). Efficacy of native entomopathogenic fungus, Isaria fumosorosea, against bark and ambrosia beetles, Anisandrus dispar Fabricius and Xylosandrus germanus Blandford (Coleoptera: Curculionidae: Scolytinae). Egyptian Journal of Biological Pest Control, 28(1), 55."
116,"Kushiyev, R., Tunçer, C., Özdemir, İ. O., Erper, İ., Kalendar, R., Alkan, M., & Özer, G. (2022). Molecular characterization of native entomopathogenic fungi from ambrosia beetles in hazelnut orchards of Turkey and evaluation of their in vitro efficacy. Insects, 13(9), 824."
117,"Landa Z., P. Hornak, L.S. Osborne, A. Novakova & E. Bursova 2001. Entomogenous fungi associated with spruce bark beetle Ips typographus L. (Coleoptera, Scolytidae) in the Bohemian Forest. Silva Gabreta 6, 250-72."
118,"Landa, Z., Bielikova´, L., Osborne, L.S., Bobkova´, E., 2001b. Assesment of isolates of entomogenous fungi collected from spruce bark beetle Ips typographus L. (Coleoptera, Scolytidae) in the Bohemian Forest. Silva Gabreta 6, 273–286."
119,"Laucius S. & P. Zolubas 1997. Spruce bark beetle (Ips typographus L.) dynamics in forest reserve in 1995-1996. Miskininkyste 1 (39), 84-92."
120,"Leatherdale D. 1970. The arthropod hosts of entomogenous fungi in Britain. Entomophaga 15, 419-35."
121,"Lestari, A. S. (2016). Isolation and pathogenicity of naturally occurring entomopathogenic fungi to clover root borer (Coleoptera: Curculionidae: Scolytinae), a pest of red clover seed crops."
122,"Li, J. X., Fernandez, K. X., Ritland, C., Jancsik, S., Engelhardt, D. B., Coombe, L., ... & Birol, I. (2023). Genomic virulence features of Beauveria bassiana as a biocontrol agent for the mountain pine beetle population. BMC genomics, 24(1), 390."
123,"Lieutier, F. (1984). Les perturbations induites par Parasitorhabditis ipsophila (Nematoda: Rhabditidae) dans le tube digestif d’Ips sexdentatus (Insecta: Scolytidae). Annales de parasitologie humaine et comparée, 59(6), 597-605."
124,"Lieutier, F. (1984). Observations on the parasitism of Ips sexdentatus (Insecta: Scolytidae) by Parasitorhabditis ipsophila (Nematoda: Rhabditidae). Annales de parasitologie humaine et comparée , 59 (5), 507-520."
125,"Lieutier, F. (1984). Observations sur le parasitisme d’Ips sexdenta tus (Insecta: Scolytidae) par Parasitorhabditis ipsophila (Nematoda: Rhabditidae). Annales de parasitologie humaine et comparée, 59(5), 507-520."
126,"Lieutier, F., & Laumond, C. (1978). Nématodes parasites et associés à Ips sexdentatus et Ips typographus (Coleoptera, Scolytidae) en région parisienne. Nematologica, 24(2), 184-200."
